,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
388,355,Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3800.0
389,227,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120000.0
390,849,Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36000.0
391,25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93000.0
392,4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350000.0
393,385,Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430000.0
394,513,Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10000.0
395,287,Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260000.0
396,369,Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56000.0
397,757,Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210000.0
398,710,Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62000.0
399,329,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,240000.0
400,231,Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43000.0
401,785,Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62000.0
402,803,Hardware Description Languages for FPGA Design,University of Colorado Boulder,COURSE,4.2,Intermediate,7400.0
403,429,Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39000.0
404,244,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8100.0
405,739,Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5400.0
406,373,Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1700.0
